"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","","","<10","","2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-10-24 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","10","","2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","10","","2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","216","","2016-10-18 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","464","","2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","5475","","2016-10-17 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","41","","2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-10-11 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","10","","2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-10-03 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","31","","2016-09-26 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","30","","2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-09-19 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-09-12 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","10","","2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","20","","2016-09-06 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","41","","2016-08-29 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","84","","2016-08-29 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","41","","2016-08-29 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","10","","2016-08-22 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","74","","2016-08-22 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","10","","2016-08-22 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","30","","2016-08-15 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","160","","2016-08-15 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","52","","2016-08-15 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-08-08 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","20","","2016-08-08 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-08-08 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-10-24 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","<10","","2016-10-24 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","10","","2016-10-24 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","243","","2016-10-17 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","4106","","2016-10-17 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","20","","2016-10-17 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-10-11 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","41","","2016-10-11 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","10","","2016-10-11 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-10-03 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","10","","2016-10-03 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-10-03 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","20","","2016-09-26 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","20","","2016-09-26 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-09-26 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-09-19 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","<10","","2016-09-19 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-09-19 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","10","","2016-09-12 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","20","","2016-09-12 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-09-12 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-09-06 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","<10","","2016-09-06 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-09-06 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-08-29 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","10","","2016-08-29 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","10","","2016-08-29 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","41","","2016-08-22 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","52","","2016-08-22 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-08-22 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-08-15 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","204","","2016-08-15 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-08-15 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-08-08 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","2489","","2016-08-08 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-08-08 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-10-24 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","10","","2016-10-24 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","10","","2016-10-24 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","323","","2016-10-17 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","4106","","2016-10-17 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","31","","2016-10-17 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","<10","","2016-10-11 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","<10","","2016-10-11 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","10","","2016-10-11 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","<10","","2016-10-03 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","20","","2016-10-03 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","<10","","2016-10-03 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","<10","","2016-09-26 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","10","","2016-09-26 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","<10","","2016-09-26 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","10","","2016-09-19 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","20","","2016-09-19 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","<10","","2016-09-19 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","<10","","2016-09-12 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","<10","","2016-09-12 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","<10","","2016-09-12 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","10","","2016-09-06 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","20","","2016-09-06 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","<10","","2016-09-06 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","10","","2016-08-29 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","20","","2016-08-29 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","<10","","2016-08-29 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","10","","2016-08-22 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","30","","2016-08-22 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","<10","","2016-08-22 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","<10","","2016-08-15 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","<10","","2016-08-15 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","<10","","2016-08-15 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","10","","2016-08-08 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL","","","10","","2016-08-08 00:00:00.0","BAY#210.1_SL"
"ENTERO","","","<10","","2016-08-08 00:00:00.0","BAY#210.1_SL"
"COLI_E","","","20","","2016-10-24 00:00:00.0","BAY#211_SL"
"COLI_TOTAL","","","20","","2016-10-24 00:00:00.0","BAY#211_SL"
"ENTERO","","","<10","","2016-10-24 00:00:00.0","BAY#211_SL"
"COLI_E","","","73","","2016-10-18 00:00:00.0","BAY#211_SL"
