"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","",NA,"<10","","2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-10-24 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"216","","2016-10-18 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"464","","2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"5475","","2016-10-17 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"41","","2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-10-11 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-10-03 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"31","","2016-09-26 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"30","","2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-09-19 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-09-12 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"20","","2016-09-06 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"41","","2016-08-29 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"84","","2016-08-29 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"41","","2016-08-29 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-08-22 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"74","","2016-08-22 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-08-22 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"30","","2016-08-15 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"160","","2016-08-15 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"52","","2016-08-15 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-08-08 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"20","","2016-08-08 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-08-08 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-10-24 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"<10","","2016-10-24 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"10","","2016-10-24 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"243","","2016-10-17 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"4106","","2016-10-17 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"20","","2016-10-17 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-10-11 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"41","","2016-10-11 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"10","","2016-10-11 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"<10","","2016-10-03 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"10","","2016-10-03 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-10-03 00:00:00.0","BAY#202.5_SL"
"COLI_E","",NA,"20","","2016-09-26 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","",NA,"20","","2016-09-26 00:00:00.0","BAY#202.5_SL"
"ENTERO","",NA,"<10","","2016-09-26 00:00:00.0","BAY#202.5_SL"
