"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","","","<10","","2016-12-05 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","41","","2016-12-05 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-12-05 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","10","","2016-11-28 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","216","","2016-11-28 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","30","","2016-11-28 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-11-21 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","96","","2016-11-21 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-11-21 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-11-15 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","31","","2016-11-15 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","31","","2016-11-15 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","20","","2016-11-14 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","241","","2016-11-14 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","158","","2016-11-14 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-11-07 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-11-07 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-11-07 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","41","","2016-10-31 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","98","","2016-10-31 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","31","","2016-10-31 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-10-24 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","10","","2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","10","","2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","216","","2016-10-18 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","464","","2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","5475","","2016-10-17 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","41","","2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-10-11 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","10","","2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-10-03 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","31","","2016-09-26 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","30","","2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-09-19 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","","","<10","","2016-09-12 00:00:00.0","BAY#202.4_SL"
"ENTERO","","","<10","","2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_E","","","<10","","2016-12-05 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","10","","2016-12-05 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-12-05 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-11-28 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","<10","","2016-11-28 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-11-28 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","41","","2016-11-21 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","187","","2016-11-21 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-11-21 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","10","","2016-11-14 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","85","","2016-11-14 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","20","","2016-11-14 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","<10","","2016-11-07 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","10","","2016-11-07 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","<10","","2016-11-07 00:00:00.0","BAY#202.5_SL"
"COLI_E","","","10","","2016-10-31 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL","","","109","","2016-10-31 00:00:00.0","BAY#202.5_SL"
"ENTERO","","","10","","2016-10-31 00:00:00.0","BAY#202.5_SL"
