"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"10",NA,"2016-05-16 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-05-10 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"30",NA,"2016-05-10 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"63",NA,"2016-05-10 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"41",NA,"2016-05-09 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"120",NA,"2016-05-09 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"1198",NA,"2016-05-09 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-05-02 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-05-02 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"10",NA,"2016-05-02 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-04-25 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-04-25 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-25 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-04-18 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-04-18 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-18 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-04-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"52",NA,"2016-04-11 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"20",NA,"2016-04-11 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-04-04 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"20",NA,"2016-04-04 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-04 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-03-28 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"20",NA,"2016-03-28 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-28 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-03-21 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-03-21 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-21 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"31",NA,"2016-03-14 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"173",NA,"2016-03-14 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"10",NA,"2016-03-14 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-03-08 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"72",NA,"2016-03-08 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-08 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"379",NA,"2016-03-07 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"602",NA,"2016-03-07 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"435",NA,"2016-03-07 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-02-29 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"31",NA,"2016-02-29 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-29 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-02-22 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"20",NA,"2016-02-22 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"63",NA,"2016-05-09 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"161",NA,"2016-05-09 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"20",NA,"2016-05-09 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-05-02 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"51",NA,"2016-05-02 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-05-02 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-04-25 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-04-25 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-25 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-04-18 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-04-18 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-18 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-04-11 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-04-11 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-11 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-04-04 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-04-04 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-04 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"10",NA,"2016-03-28 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"63",NA,"2016-03-28 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-28 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-03-21 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"52",NA,"2016-03-21 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-21 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"10",NA,"2016-03-14 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"169",NA,"2016-03-14 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"10",NA,"2016-03-14 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-03-08 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"86",NA,"2016-03-08 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-08 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"131",NA,"2016-03-07 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"1178",NA,"2016-03-07 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"158",NA,"2016-03-07 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"10",NA,"2016-02-29 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-02-29 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-29 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"75",NA,"2016-05-16 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"<10",NA,"2016-05-09 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-05-09 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-05-09 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"10",NA,"2016-05-02 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"75",NA,"2016-05-02 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-05-02 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"<10",NA,"2016-04-25 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-04-25 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-25 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"30",NA,"2016-04-18 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"108",NA,"2016-04-18 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-18 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"<10",NA,"2016-04-11 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-04-11 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-11 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"10",NA,"2016-04-04 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"160",NA,"2016-04-04 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"10",NA,"2016-04-04 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"<10",NA,"2016-03-28 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"20",NA,"2016-03-28 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-28 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"<10",NA,"2016-03-21 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-03-21 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"10",NA,"2016-03-21 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"20",NA,"2016-03-14 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"231",NA,"2016-03-14 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"10",NA,"2016-03-14 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"52",NA,"2016-03-07 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"512",NA,"2016-03-07 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"41",NA,"2016-03-07 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"41",NA,"2016-02-29 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"226",NA,"2016-02-29 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-29 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"31",NA,"2016-02-22 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-02-22 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#211_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-05-16 00:00:00.0","BAY#211_SL"
"ENTERO",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#211_SL"
"COLI_E",NA,NA,"<10",NA,"2016-05-09 00:00:00.0","BAY#211_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-05-09 00:00:00.0","BAY#211_SL"
"ENTERO",NA,NA,"<10",NA,"2016-05-09 00:00:00.0","BAY#211_SL"
"COLI_E",NA,NA,"20",NA,"2016-05-02 00:00:00.0","BAY#211_SL"
"COLI_TOTAL",NA,NA,"282",NA,"2016-05-02 00:00:00.0","BAY#211_SL"
"ENTERO",NA,NA,"31",NA,"2016-05-02 00:00:00.0","BAY#211_SL"
"COLI_E",NA,NA,"20",NA,"2016-04-25 00:00:00.0","BAY#211_SL"
"COLI_TOTAL",NA,NA,"31",NA,"2016-04-25 00:00:00.0","BAY#211_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-25 00:00:00.0","BAY#211_SL"
"COLI_E",NA,NA,"30",NA,"2016-04-18 00:00:00.0","BAY#211_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-04-18 00:00:00.0","BAY#211_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-18 00:00:00.0","BAY#211_SL"
"COLI_E",NA,NA,"20",NA,"2016-04-11 00:00:00.0","BAY#211_SL"
"COLI_TOTAL",NA,NA,"63",NA,"2016-04-11 00:00:00.0","BAY#211_SL"
"ENTERO",NA,NA,"<10",NA,"2016-04-11 00:00:00.0","BAY#211_SL"
"COLI_E",NA,NA,"336",NA,"2016-04-04 00:00:00.0","BAY#211_SL"
"COLI_TOTAL",NA,NA,"684",NA,"2016-04-04 00:00:00.0","BAY#211_SL"
