"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","",NA,"41","","2016-05-09 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"120","","2016-05-09 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"1198","","2016-05-09 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-05-02 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-05-02 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-05-02 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-04-25 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"10","","2016-04-25 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-04-25 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-04-18 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-04-18 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-04-18 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-04-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"52","","2016-04-11 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"20","","2016-04-11 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-04-04 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"20","","2016-04-04 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-04-04 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-03-28 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"20","","2016-03-28 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-03-28 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-03-21 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"10","","2016-03-21 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-03-21 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"31","","2016-03-14 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"173","","2016-03-14 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-03-14 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-03-08 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"72","","2016-03-08 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-03-08 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"379","","2016-03-07 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"602","","2016-03-07 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"435","","2016-03-07 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-02-29 00:00:00.0","BAY#202.4_SL"
