"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E",NA,NA,"10",NA,"2016-12-27 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-12-27 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-12-27 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"20",NA,"2016-12-23 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"109",NA,"2016-12-23 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"52",NA,"2016-12-23 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"20",NA,"2016-12-19 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"98",NA,"2016-12-19 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-12-19 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"41",NA,"2016-12-16 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"134",NA,"2016-12-16 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"20",NA,"2016-12-16 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"262",NA,"2016-12-12 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"369",NA,"2016-12-12 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"85",NA,"2016-12-12 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-12-05 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-12-05 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-12-05 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-11-28 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"216",NA,"2016-11-28 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"30",NA,"2016-11-28 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-11-21 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"96",NA,"2016-11-21 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-11-21 00:00:00.0","BAY#202.4_SL"
