"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","",NA,"<10","","2016-06-27 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-06-27 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-06-27 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"41","","2016-06-20 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"86","","2016-06-20 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"20","","2016-06-20 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-06-13 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-06-13 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"41","","2016-06-13 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-06-06 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-06-06 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-06-06 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-05-31 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"10","","2016-05-31 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"20","","2016-05-31 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"86","","2016-05-23 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"110","","2016-05-23 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"20","","2016-05-23 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-05-16 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-05-16 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-05-16 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-05-10 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"30","","2016-05-10 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"63","","2016-05-10 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"41","","2016-05-09 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"120","","2016-05-09 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"1198","","2016-05-09 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-05-02 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-05-02 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-05-02 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-04-25 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"10","","2016-04-25 00:00:00.0","BAY#202.4_SL"
