"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E",NA,NA,"<10",NA,"2016-08-01 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-08-01 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-08-01 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-07-25 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-07-25 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-07-25 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-07-18 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"31",NA,"2016-07-18 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-07-18 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-07-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"20",NA,"2016-07-11 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-07-11 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"20",NA,"2016-07-05 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"52",NA,"2016-07-05 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"41",NA,"2016-07-05 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-06-27 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-06-27 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-06-27 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"41",NA,"2016-06-20 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"86",NA,"2016-06-20 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"20",NA,"2016-06-20 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-06-13 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-06-13 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"41",NA,"2016-06-13 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-06-06 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-06-06 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-06-06 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-05-31 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-05-31 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"20",NA,"2016-05-31 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"86",NA,"2016-05-23 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"110",NA,"2016-05-23 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"20",NA,"2016-05-23 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-05-16 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"10",NA,"2016-05-16 00:00:00.0","BAY#202.4_SL"
