"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E",NA,NA,"<10",NA,"2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-10-24 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"10",NA,"2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"216",NA,"2016-10-18 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"464",NA,"2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"5475",NA,"2016-10-17 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"41",NA,"2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-10-11 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"10",NA,"2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-10-03 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"31",NA,"2016-09-26 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"30",NA,"2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-09-19 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-09-12 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"20",NA,"2016-09-06 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"41",NA,"2016-08-29 00:00:00.0","BAY#202.4_SL"
