"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E",NA,NA,"10",NA,"2016-03-21 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-03-21 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-21 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"31",NA,"2016-03-14 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"173",NA,"2016-03-14 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"10",NA,"2016-03-14 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-03-08 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"72",NA,"2016-03-08 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-08 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"379",NA,"2016-03-07 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"602",NA,"2016-03-07 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"435",NA,"2016-03-07 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-02-29 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"31",NA,"2016-02-29 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-29 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"10",NA,"2016-02-22 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"20",NA,"2016-02-22 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-02-16 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-02-16 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"10",NA,"2016-02-16 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-02-08 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-02-08 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-08 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"20",NA,"2016-02-01 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"20",NA,"2016-02-01 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-01 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-01-25 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-01-25 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"20",NA,"2016-01-25 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"20",NA,"2016-01-20 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"146",NA,"2016-01-20 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"10",NA,"2016-01-20 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"266",NA,"2016-01-19 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"5794",NA,"2016-01-19 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"399",NA,"2016-01-19 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"98",NA,"2016-01-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"161",NA,"2016-01-11 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"52",NA,"2016-01-11 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"31",NA,"2016-01-06 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"122",NA,"2016-01-06 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"98",NA,"2016-01-06 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"20",NA,"2016-01-05 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"31",NA,"2016-01-05 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"146",NA,"2016-01-05 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"52",NA,"2016-01-04 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"97",NA,"2016-01-04 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"262",NA,"2016-01-04 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2015-12-28 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2015-12-28 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,NA,"<10",NA,"2015-12-28 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,NA,"<10",NA,"2016-03-21 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"52",NA,"2016-03-21 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-21 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"10",NA,"2016-03-14 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"169",NA,"2016-03-14 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"10",NA,"2016-03-14 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-03-08 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"86",NA,"2016-03-08 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-03-08 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"131",NA,"2016-03-07 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"1178",NA,"2016-03-07 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"158",NA,"2016-03-07 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"10",NA,"2016-02-29 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-02-29 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-29 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-02-16 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-02-16 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-16 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"10",NA,"2016-02-08 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"30",NA,"2016-02-08 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-08 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-02-01 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-02-01 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"10",NA,"2016-02-01 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-01-25 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"31",NA,"2016-01-25 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-01-25 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-01-20 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"171",NA,"2016-01-20 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-01-20 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"426",NA,"2016-01-19 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"4352",NA,"2016-01-19 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"495",NA,"2016-01-19 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"31",NA,"2016-01-11 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"75",NA,"2016-01-11 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"10",NA,"2016-01-11 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2016-01-04 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"31",NA,"2016-01-04 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"<10",NA,"2016-01-04 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"<10",NA,"2015-12-28 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,NA,"20",NA,"2015-12-28 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,NA,"10",NA,"2015-12-28 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,NA,"86",NA,"2016-01-20 00:00:00.0","BAY#202_LAGOON"
"COLI_TOTAL",NA,NA,"830",NA,"2016-01-20 00:00:00.0","BAY#202_LAGOON"
"ENTERO",NA,NA,"20",NA,"2016-01-20 00:00:00.0","BAY#202_LAGOON"
"COLI_E",NA,NA,"1043",NA,"2016-01-19 00:00:00.0","BAY#202_LAGOON"
"COLI_TOTAL",NA,NA,">24196",NA,"2016-01-19 00:00:00.0","BAY#202_LAGOON"
"ENTERO",NA,NA,"2187",NA,"2016-01-19 00:00:00.0","BAY#202_LAGOON"
"COLI_E",NA,NA,"<10",NA,"2016-03-21 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-03-21 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"10",NA,"2016-03-21 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"20",NA,"2016-03-14 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"231",NA,"2016-03-14 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"10",NA,"2016-03-14 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"52",NA,"2016-03-07 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"512",NA,"2016-03-07 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"41",NA,"2016-03-07 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"41",NA,"2016-02-29 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"226",NA,"2016-02-29 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-29 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"31",NA,"2016-02-22 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-02-22 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-22 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"<10",NA,"2016-02-16 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"74",NA,"2016-02-16 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-16 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"10",NA,"2016-02-08 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-02-08 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-02-08 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"10",NA,"2016-02-01 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"41",NA,"2016-02-01 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"10",NA,"2016-02-01 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"<10",NA,"2016-01-25 00:00:00.0","BAY#210.1_SL"
"COLI_TOTAL",NA,NA,"10",NA,"2016-01-25 00:00:00.0","BAY#210.1_SL"
"ENTERO",NA,NA,"<10",NA,"2016-01-25 00:00:00.0","BAY#210.1_SL"
"COLI_E",NA,NA,"110",NA,"2016-01-20 00:00:00.0","BAY#210.1_SL"
